fertilizerid,Price,name of fertilizer,manufacturedate,expirydate,,ModifiedDate
AZ51626304662030714174169381,95 446,Anhydrous Ammonia,11-14-2021,06/10/2022,,08/18/2020
MK76643615943236167,45 286,Aqua Ammonia,10/09/2021,05/19/2022,,09/15/2020
BE95435239985461,40 505,Ammonium Nitrate,03/07/2021,05/03/2022,,06/15/2020
HU75624858298947082828227295,69 575,Ammonium Nitrate Solution,08/04/2021,06/15/2022,,09/07/2020
IS801776105464336676355926,17 969,Amm Nitrate-Limestone Mixtures,08-24-2021,02/24/2022,,08/25/2020
KW1142674182338183429667242396,52 808,Ammonium Nitrate - Sulfate,12/03/2021,07/05/2022,,08/18/2020
IL091130768264751138427,19 583,Ammonium Polysulfide,09/10/2021,01/10/2023,,10/26/2020
IL035128878333915353266,80 637,Ammonium Sulfate,01/01/2022,01/05/2023,,08/28/2020
ES5548639513029446825352,39 338,Ammonium Sulfate Solution,05-30-2021,05/21/2022,,11/07/2020
PK7961823606334531385635,29 484,Ammonium Sulfate - Nitrate,02/01/2021,02/25/2022,,10/13/2020
NO6587534229523,72 187,Ammonium Sulfate - Urea,01-15-2021,05/01/2022,,06/22/2020
BG13AJYB34179381451775,2 086,Ammonium Thiosulfate,12-31-2021,10/07/2022,,08/21/2020
AZ30189768867751335472315276,94 342,Calcium Ammonium Nitrate,11-27-2021,06/17/2022,,08/10/2020
MU6125945034143789275831558458,85 309,Calcium Cyanamide,10-25-2021,09/11/2022,,08/04/2020
TR778812275305297538272332,98 422,Calcium Nitrate,06-17-2021,02/25/2022,,11/27/2020
DE87789105420481274440,28 738,Calcium Nitrate - Urea,09-30-2021,11/06/2022,,11/19/2020
EE262694245666655552,9 163,Nitric Acid,01-26-2022,08/31/2022,,08/22/2020
SM4889852493317518989648132,60 978,Nitrogen Solution < 28%,04-21-2021,05/03/2022,,07/11/2020
NL64SHAM1556188727,8 435,Sodium Nitrate,04-16-2021,04/08/2022,,07/05/2020
GI66PWPI235153764110859,8 924,Sulfur Coated Urea,11/11/2021,08/26/2022,,12/17/2020
GE43167312579381643148,98 240,Urea,09/05/2021,09/20/2022,,12/21/2020
BA213833558087974828,43 377,Urea Solution,05-15-2021,12/20/2022,,10/16/2020
PS720484576554637728262712276,73 930,Urea - Formaldehyde,02/11/2021,06/06/2022,,08/15/2020
MD3840860634683168781773,28 330,Zinc Ammonium Sulfate Solution,03-17-2021,06/14/2022,,08/12/2020
HR8420117266978696181,50 214,Zinc Manganese Amm Sulfate,11/12/2021,12/07/2022,,08/31/2020
FR5582134863749986624332622,58 320,Nitrogen Product - Code Unknown,06/05/2021,03/18/2022,,06/07/2020
IT926YHXDI56799152852716547,18 918,Ammonium Metaphosphate,10/10/2021,11/03/2022,,12/01/2020
ME49514278628578343263,28 795,Ammonium Phosphate,03-24-2021,06/09/2022,,07/31/2020
IT306UQGGI37568161342688741,26 357,Diammonium Phosphate,08/04/2021,11/17/2022,,10/05/2020
AD8543281326441581187629,1 470,Ammonium Polyphosphate,03/04/2021,02/22/2022,,12/06/2020
LV70NCYV4474524752284,39 562,Basic Lime Phosphate,04-19-2021,02/19/2022,,12/21/2020
TN7768013965562394517510,23 822,Ammonium Phosphate Nitrat,03-16-2021,02/28/2022,,06/10/2020
CY63212782778132804025516216,15 732,Ammonium Phosphate Sulfate,01-26-2022,06/21/2022,,07/08/2020
RS53165513481386916228,57 530,Basic Slag,08/01/2021,02/02/2022,,11/06/2020
VG2625576807832702123143,82 245,Monoammonium Phosphate,08-27-2021,02/12/2022,,08/28/2020
MK43011805349242825,37 938,Bone Black Spent,05/05/2021,10/05/2022,,10/06/2020
RO75XBBY6254840642682624,15 535,"Bone Meal, Raw",07/10/2021,07/22/2022,,10/26/2020
MR6277550362171450277958153,38 752,"Bone Meal, Steamed",12-28-2021,03/01/2022,,10/06/2020
ES1421366425432375314928,89 882,"Bone, Precipitated",01/01/2022,05/30/2022,,10/12/2020
FR7711045142705667408061217,54 224,Calcium Metaphosphate,10-29-2021,05/31/2022,,06/24/2020
RO78GLBT6214940511268776,6 021,Colloidal Phosphate (Soft),05-20-2021,04/02/2022,,06/17/2020
LV37PCLR2958543924024,35 628,"Limestone, Phosphatic",10-31-2021,03/13/2022,,12/06/2020
BH09874062098577523538,93 302,Magnesium Phosphate,05-18-2021,06/21/2022,,06/24/2020
KW8845896063338282181936288847,70 748,Nitric Phosphate,03/04/2021,06/01/2022,,11/28/2020
BG32FFUZ34111894347681,45 274,Phosphate Rock,09-24-2021,08/02/2022,,10/14/2020
TN7115385383165586261612,34 251,Phosphoric Acid,09/08/2021,04/12/2022,,06/04/2020
TN4448184851201264537941,93 225,Liquid Amm Polyphosphate,02-26-2021,12/21/2022,,10/18/2020
GR8974611471323780463024844,15 442,Precipitated Phosphate,10-29-2021,02/05/2022,,06/19/2020
SE0553632714378285563862,5 977,"Superphosphate, Normal",04-18-2021,02/07/2022,,06/24/2020
LU243554611485836803,85 510,"Superphosphate, Enriched",03/07/2021,03/14/2022,,06/22/2020
HU71406807533245427594172412,17 700,"Superphosphate, Triple",11-13-2021,03/07/2022,,06/19/2020
GL2669249876362224,95 738,Superphosphoric Acid,05-21-2021,02/11/2022,,07/09/2020
ME72728742739187419622,79 355,Phosphate Product - Code Unknow,06/11/2021,11/28/2022,,12/03/2020
BE77573172454543,84 520,Phosphate - Code/Grade Unknown,08/06/2021,11/29/2022,,10/27/2020
MR8636880610758502411813445,74 168,Lime-Potash Mixtures,12/10/2021,10/19/2022,,08/05/2020
MK60323325133402622,77 825,Manure Salts,08-30-2021,05/28/2022,,10/14/2020
NO0624113531020,20 741,Potash Suspensions,07-25-2021,08/10/2022,,10/05/2020
FO1743222841086383,6 195,Potassium Carbonate,11/12/2021,07/23/2022,,06/23/2020
LT882072358244672423,54 784,Muriate of Potash 60%,08-16-2021,09/16/2022,,07/08/2020
GE74219808433278862882,1 636,Muriate of Potash 62%,06/11/2021,04/06/2022,,06/17/2020
AL72430472760103122735686882,67 780,Potassium - Magnesium Sulfate,01-16-2022,11/20/2022,,12/30/2020
BE76213722009146,61 657,Potassium - Metaphosphate,11-19-2021,02/16/2022,,12/06/2020
MR4846142451224825434701733,75 965,Potassium Nitrate,07-19-2021,04/23/2022,,09/13/2020
RO17DNCH7615564683695779,37 954,Potassium - Sodium Nitrate,12/02/2021,06/13/2022,,07/13/2020
PT03649578767586650120903,18 414,Potassium Sulfate,11/02/2021,03/31/2022,,07/17/2020
VG8124329359430757512775,13 531,Tobacco Stems,01/09/2022,10/13/2022,,11/25/2020
MD2513602173251926109460,35 871,Potash Product - Code Unknown,08-26-2021,05/29/2022,,06/13/2020
CZ1531681800181745272310,43 144,Potash - Code/Grade Unknow,07/03/2021,10/05/2022,,09/20/2020
LV90MJMG1625476005538,66 007,"Blood, Dried",04-23-2021,09/15/2022,,07/05/2020
CZ3257840581876846393598,68 385,name of fertilizer,11/01/2021,10/23/2022,,07/12/2020
AD2416629742185770453636,24 018,Anhydrous Ammonia,05-30-2021,06/28/2022,,12/07/2020
SE6806684712975823208583,23 329,Aqua Ammonia,03-15-2021,03/11/2022,,11/23/2020
MK98760374166345036,33 003,Ammonium Nitrate,04-23-2021,08/18/2022,,07/06/2020
BA131455456240142512,6 632,Ammonium Nitrate Solution,11/09/2021,06/03/2022,,09/21/2020
AZ47538217715574232077459487,28 806,Amm Nitrate-Limestone Mixtures,01-30-2022,02/01/2022,,09/06/2020
IE23LEXU41594942122645,49 213,Ammonium Nitrate - Sulfate,08-30-2021,08/27/2022,,09/19/2020
AE532893318237361413634,78 715,Ammonium Polysulfide,12/08/2021,02/05/2022,,06/03/2020
KW2326395060254167815781798784,35 737,Ammonium Sulfate,07-19-2021,02/22/2022,,10/03/2020
MD6762028826105150884792,58 808,Ammonium Sulfate Solution,08-20-2021,05/02/2022,,09/06/2020
GI64HUFD911063786176735,55 040,Ammonium Sulfate - Nitrate,06/12/2021,09/11/2022,,10/27/2020
GR2223414205692477855455843,14 948,Ammonium Sulfate - Urea,07-15-2021,06/03/2022,,10/18/2020
CY98246265521751257351455216,15 130,Ammonium Thiosulfate,08-24-2021,08/04/2022,,10/18/2020
IE77QAWO38185173335149,65 602,Calcium Ammonium Nitrate,04-24-2021,06/20/2022,,07/14/2020
HU58978414615386887677606409,47 238,Calcium Cyanamide,06/04/2021,01/10/2023,,06/25/2020
SM4221273747085455607854478,31 080,Calcium Nitrate,06/08/2021,10/11/2022,,06/11/2020
TR791525392571772306269648,60 624,Calcium Nitrate - Urea,04-28-2021,09/16/2022,,09/04/2020
RS75267822634894747185,26 586,Nitric Acid,07/04/2021,03/08/2022,,11/03/2020
MU3947369725303236580516116672,12 433,Nitrogen Solution < 28%,10-25-2021,11/27/2022,,07/15/2020
SM3953883845551243364054453,15 794,Sodium Nitrate,06-28-2021,11/06/2022,,06/27/2020
MR1487525887242631123712826,15 005,Sulfur Coated Urea,11-18-2021,07/22/2022,,06/12/2020
MT39FKFR15328436131142380775766,90 218,Urea,05-18-2021,02/17/2022,,08/08/2020
EE380266223363373415,65 818,Urea Solution,06-18-2021,01/02/2023,,07/13/2020
IL977508508207843752747,98 121,Urea - Formaldehyde,07/07/2021,02/16/2022,,10/02/2020
AL78802825113735180116819749,69 940,Zinc Ammonium Sulfate Solution,09/10/2021,07/24/2022,,08/29/2020
AZ85469087182500563805155514,84 069,Zinc Manganese Amm Sulfate,08-21-2021,11/07/2022,,12/11/2020
HU48820450456675461950564895,80 331,Nitrogen Product - Code Unknown,10-13-2021,09/20/2022,,08/15/2020
IE56HSEU38248223158937,22 649,Ammonium Metaphosphate,06/01/2021,04/13/2022,,11/24/2020
NL68SVOF3955229871,8 433,Ammonium Phosphate,04-19-2021,02/15/2022,,07/06/2020
GB31NYXL06936152356284,8 197,Diammonium Phosphate,05-19-2021,04/05/2022,,09/04/2020
SA5973564752513108835827,1 718,Ammonium Polyphosphate,12/10/2021,05/09/2022,,06/04/2020
MC1186507660672743832561894,37 223,Basic Lime Phosphate,08/07/2021,08/09/2022,,11/28/2020
DK0646278526837853,72 094,Ammonium Phosphate Nitrat,12/09/2021,12/12/2022,,07/06/2020
LT367057186447375976,57 260,Ammonium Phosphate Sulfate,05/03/2021,04/06/2022,,08/06/2020
MU9513512612784178732567273974,22 051,Basic Slag,03/03/2021,10/18/2022,,12/11/2020
VG6047743255181025363431,10 864,Monoammonium Phosphate,06/12/2021,10/22/2022,,09/03/2020
PL22753346125468832241775452,93 760,Bone Black Spent,03/10/2021,10/09/2022,,09/10/2020
IS447763167768697702966756,1 917,"Bone Meal, Raw",08-21-2021,04/04/2022,,09/10/2020
TN5233426148321942305199,32 336,"Bone Meal, Steamed",06/08/2021,04/24/2022,,12/17/2020
GL4723268861569836,23 283,"Bone, Precipitated",08-23-2021,08/20/2022,,08/27/2020
MC8197423704142152226723100,89 798,Calcium Metaphosphate,07-13-2021,12/23/2022,,09/06/2020
PT89471501827853145562945,32 121,Colloidal Phosphate (Soft),07/02/2021,10/29/2022,,06/19/2020
CH3912288252637166237,71 875,"Limestone, Phosphatic",04-18-2021,10/12/2022,,11/17/2020
PT42188286988686265116577,97 237,Magnesium Phosphate,12-28-2021,07/31/2022,,06/21/2020
GE50451666027528805724,83 872,Nitric Phosphate,03-31-2021,05/26/2022,,12/08/2020
AD2821328083189521370595,66 877,Phosphate Rock,11-24-2021,03/28/2022,,10/19/2020
VG9743976116104658181377,77 492,Phosphoric Acid,06-22-2021,12/10/2022,,07/19/2020
SM5934835814735332558021828,8 111,Liquid Amm Polyphosphate,09/04/2021,12/11/2022,,11/15/2020
MT53MARH69972952193179702484768,81 359,Precipitated Phosphate,06-17-2021,07/18/2022,,12/18/2020
LT472054924284631427,98 142,"Superphosphate, Normal",03-23-2021,05/26/2022,,11/27/2020
FI0543730847427613,70 777,"Superphosphate, Enriched",09/04/2021,08/17/2022,,10/10/2020
TR356655592341712581189964,25 289,"Superphosphate, Triple",02-17-2021,05/26/2022,,10/09/2020
LT771871723914766922,17 891,Superphosphoric Acid,10-14-2021,11/28/2022,,07/05/2020
AL15855135422128452160808775,1 070,Phosphate Product - Code Unknow,09-23-2021,12/12/2022,,07/02/2020
GL5034285977885234,13 744,Phosphate - Code/Grade Unknown,01/12/2021,08/05/2022,,12/29/2020
AE253719589512807817714,27 768,Lime-Potash Mixtures,05-31-2021,12/08/2022,,07/05/2020
DE60877262858779363465,66 353,Manure Salts,10/12/2021,11/12/2022,,09/29/2020
HU96203201926475145164784751,56 653,Potash Suspensions,06/09/2021,07/03/2022,,12/29/2020
TN9556374931456763342732,16 696,Potassium Carbonate,11-20-2021,05/24/2022,,06/04/2020
PS655774463733824568663792657,28 620,Muriate of Potash 60%,01-29-2021,05/01/2022,,08/10/2020
KW2767452470426018819137422159,54 528,Muriate of Potash 62%,07/03/2021,11/26/2022,,08/10/2020
GI60PRIW960112248858586,91 431,Potassium - Magnesium Sulfate,06-23-2021,10/04/2022,,09/23/2020
BG67NGKH00718323842817,11 989,Potassium - Metaphosphate,10-26-2021,05/23/2022,,06/17/2020
LT250112149826059796,70 377,Potassium Nitrate,12-30-2021,12/25/2022,,09/20/2020
CY23177655321988570449514288,30 240,Potassium - Sodium Nitrate,06-26-2021,12/11/2022,,09/27/2020
NO9823848102153,65 993,Potassium Sulfate,07-19-2021,05/27/2022,,10/04/2020
FI7429187218816857,14 925,Tobacco Stems,03/07/2021,02/16/2022,,07/31/2020
SA3811778735474286236987,19 442,Potash Product - Code Unknown,11-26-2021,03/26/2022,,09/03/2020
DK6067745434708268,29 548,Potash - Code/Grade Unknow,01-29-2021,11/28/2022,,08/08/2020
VG3522172914381330832987,95 708,"Blood, Dried",10/01/2021,10/11/2022,,06/16/2020
EE254157275632325365,99 128,name of fertilizer,05/05/2021,02/03/2022,,12/06/2020
SI37784431828032482,93 757,Anhydrous Ammonia,10-20-2021,05/31/2022,,06/08/2020
GI08RHHJ868011382819621,14 478,Aqua Ammonia,07-25-2021,08/27/2022,,11/18/2020
SK7145883732187942964676,11 212,Ammonium Nitrate,11/08/2021,10/01/2022,,08/31/2020
CH2239882236428028616,35 638,Ammonium Nitrate Solution,03-28-2021,06/15/2022,,06/30/2020
BE03471130199062,46 696,Amm Nitrate-Limestone Mixtures,04-22-2021,03/04/2022,,12/02/2020
IT032FXNHI32132360489118795,83 985,Ammonium Nitrate - Sulfate,07/07/2021,04/04/2022,,09/09/2020
AZ43712255173251134306726425,56 200,Ammonium Polysulfide,03-25-2021,12/15/2022,,08/18/2020
BA402718703744021077,5 730,Ammonium Sulfate,12-18-2021,04/25/2022,,07/28/2020
GB76TLSP94255814845566,38 851,Ammonium Sulfate Solution,01-22-2022,09/04/2022,,09/10/2020
CY82240367371826725170862985,18 474,Ammonium Sulfate - Nitrate,01/12/2021,02/11/2022,,11/26/2020
SE2392841363969544046328,73 209,Ammonium Sulfate - Urea,01-13-2022,09/22/2022,,11/16/2020
SK8295390511417414515281,67 962,Ammonium Thiosulfate,11-14-2021,04/11/2022,,09/06/2020
GR6695626901674942680618762,68 856,Calcium Ammonium Nitrate,09-26-2021,03/01/2022,,09/27/2020
MC3932012299753326368656412,91 597,Calcium Cyanamide,09/03/2021,11/25/2022,,11/23/2020
SA8463793217542643163713,79 017,Calcium Nitrate,03/12/2021,05/16/2022,,11/09/2020
BE63833578742871,37 934,Calcium Nitrate - Urea,04-15-2021,12/28/2022,,09/26/2020
KW3925583776243106639310167639,53 083,Nitric Acid,06-21-2021,06/22/2022,,12/25/2020
VG7299195735238935773895,99 541,Nitrogen Solution < 28%,05/07/2021,07/25/2022,,06/29/2020
NO3438721856131,21 321,Sodium Nitrate,11-27-2021,05/14/2022,,09/05/2020
IS676218221073904459632066,4 197,Sulfur Coated Urea,01-14-2022,11/24/2022,,07/20/2020
GE64607956066132711838,6 849,Urea,05/06/2021,10/06/2022,,12/25/2020
BG86MVLF45300655636966,5 335,Urea Solution,02/09/2021,10/18/2022,,06/13/2020
FO9700878483411724,31 838,Urea - Formaldehyde,07-26-2021,06/12/2022,,09/25/2020
PS028465077237833733173546764,57 252,Zinc Ammonium Sulfate Solution,10/06/2021,10/17/2022,,10/31/2020
PS413565793505468732339266246,72 856,Zinc Manganese Amm Sulfate,11/02/2021,10/08/2022,,11/21/2020
NO5643236336324,16 363,Nitrogen Product - Code Unknown,05-29-2021,05/11/2022,,11/09/2020
NO9792386665975,6 411,Ammonium Metaphosphate,05/11/2021,04/10/2022,,06/25/2020
EE679790823772239476,33 322,Ammonium Phosphate,08/07/2021,02/16/2022,,08/05/2020
AT507863549248665178,54 750,Diammonium Phosphate,03/06/2021,03/21/2022,,12/26/2020
IT125PRIVI45221748086144144,9 649,Ammonium Polyphosphate,04-30-2021,06/10/2022,,07/19/2020
DK6714413636824878,37 768,Basic Lime Phosphate,10/08/2021,10/09/2022,,09/30/2020
AE315128764526470831383,46 592,Ammonium Phosphate Nitrat,01-18-2022,12/02/2022,,10/09/2020
LI9513126185408797638,62 256,Ammonium Phosphate Sulfate,03-21-2021,05/18/2022,,06/04/2020
IS083082122569298462607636,97 459,Basic Slag,04/09/2021,11/15/2022,,07/20/2020
GB51KCYJ62677732121123,65 993,Monoammonium Phosphate,11-17-2021,06/15/2022,,10/02/2020
FO3301823444390432,29 054,Bone Black Spent,08/07/2021,02/01/2022,,11/16/2020
NL96TMOJ7552536181,10 841,"Bone Meal, Raw",03/10/2021,12/23/2022,,07/12/2020
PT21243275852740442397726,56 906,"Bone Meal, Steamed",01-24-2021,03/20/2022,,09/11/2020
ME14937433518915291185,8 032,"Bone, Precipitated",09/01/2021,04/12/2022,,10/31/2020
CR3537585476814677107,18 804,Calcium Metaphosphate,11-23-2021,08/14/2022,,11/04/2020
DO36228396826380126153635873,73 123,Colloidal Phosphate (Soft),08-26-2021,10/25/2022,,09/13/2020
IL956848464883571245534,75 227,"Limestone, Phosphatic",06/11/2021,03/06/2022,,09/08/2020
LU192234264417873847,46 834,Magnesium Phosphate,08-17-2021,05/31/2022,,08/14/2020
DK8246384697447442,2 639,Nitric Phosphate,07/02/2021,05/05/2022,,09/10/2020
SI67439148031744686,84 607,Phosphate Rock,05/04/2021,04/01/2022,,06/20/2020
PS533680912327932102360453796,75 509,Phosphoric Acid,08-13-2021,11/02/2022,,11/21/2020
LI2985824166260255787,10 296,Liquid Amm Polyphosphate,04-13-2021,10/03/2022,,09/20/2020
GR1452314540563771805572043,89 497,Precipitated Phosphate,10/08/2021,06/16/2022,,07/25/2020
TR416262831356587971672163,38 748,"Superphosphate, Normal",11-25-2021,11/19/2022,,12/18/2020
NL55MYOQ5920765611,76 146,"Superphosphate, Enriched",05-17-2021,11/29/2022,,12/17/2020
AT634476749358842566,54 891,"Superphosphate, Triple",05-22-2021,09/13/2022,,10/08/2020
NL94HYWB4208254222,41 297,Superphosphoric Acid,06-29-2021,10/06/2022,,09/17/2020
TN1193344004638633336988,21 494,Phosphate Product - Code Unknow,06-26-2021,05/14/2022,,09/05/2020
EE638782432618511197,49 899,Phosphate - Code/Grade Unknown,07-29-2021,06/08/2022,,07/12/2020
HU42322334823795462765555720,31 760,Lime-Potash Mixtures,09/02/2021,03/02/2022,,06/18/2020
MD9028174496344751452583,82 814,Manure Salts,04-18-2021,08/01/2022,,10/20/2020
GB73GNVV06263369134627,81 527,Potash Suspensions,04-14-2021,11/02/2022,,11/04/2020
GL2154543443537031,76 036,Potassium Carbonate,10/12/2021,04/05/2022,,08/27/2020
KW3130838537560362310140670337,74 823,Muriate of Potash 60%,10-21-2021,09/13/2022,,10/23/2020
GT27508975484261877783571350,77 371,Muriate of Potash 62%,08/11/2021,10/31/2022,,06/11/2020
LT923287076566580194,47 520,Potassium - Magnesium Sulfate,10/02/2021,12/17/2022,,08/20/2020
AL08758705416365328268875155,97 325,Potassium - Metaphosphate,01-30-2022,07/01/2022,,11/21/2020
IS098031713264671225717464,23 955,Potassium Nitrate,02-21-2021,01/05/2023,,07/25/2020
NL47OKON0221640063,34 416,Potassium - Sodium Nitrate,10/01/2021,04/02/2022,,11/19/2020
SA4724755205675046363826,58 694,Potassium Sulfate,10-29-2021,08/27/2022,,06/27/2020
IT351ELLFI57058717461018839,74 168,Tobacco Stems,04-28-2021,10/31/2022,,09/23/2020
EE815686635863626742,59 086,Potash Product - Code Unknown,05/01/2021,03/08/2022,,07/18/2020
IS528319691874156858678263,56 787,Potash - Code/Grade Unknow,09-21-2021,05/26/2022,,10/30/2020
FI4785964573695217,70 512,"Blood, Dried",10-21-2021,06/21/2022,,10/11/2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
